No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
62;03/03/2017;55.32;  ;22.71;  ;11.74;  ;22.66;  ;79.42;  ;28.2;  ;84.04;  ;0.61;  ;213.58;  ;0.13;  ;HIJPR
63;04/03/2017;33.75;  ;11.14;  ;12.51;  ;14.41;  ;104.28;  ;28.36;  ;77.77;  ;0.77;  ;209.57;  ;0;  ;HIJPR
64;05/03/2017;46.61;  ;7.78;  ;11.57;  ;11.44;  ;156.82;  ;29.57;  ;75.07;  ;0.42;  ;191.6;  ;0;  ;HIJPR
65;06/03/2017;48.63;  ;12.38;  ;13.22;  ;15.67;  ;77.27;  ;29.18;  ;73.81;  ;0.55;  ;225.15;  ;0;  ;HIJPR
66;07/03/2017;36.18;  ;11.96;  ;9.77;  ;13.21;  ;109.97;  ;27.11;  ;82.01;  ;0.69;  ;231.45;  ;0.37;  ;HIJPR
67;08/03/2017;28.82;  ;11.01;  ;13.52;  ;14.79;  ;149.13;  ;29.18;  ;72.79;  ;0.4;  ;188.96;  ;0;  ;HIJPR
68;09/03/2017;58.75;  ;13.95;  ;20.13;  ;20.21;  ;157.95;  ;29.29;  ;71.65;  ;0.32;  ;142.96;  ;0;  ;HIJPR
69;10/03/2017;75.39;  ;14.95;  ;18.78;  ;20.3;  ;94.88;  ;28.8;  ;73.68;  ;0.3;  ;171.72;  ;0;  ;HIJPR
70;11/03/2017;67.35;  ;12.17;  ;15.92;  ;16.83;  ;145.4;  ;28.68;  ;75.35;  ;0.31;  ;164.4;  ;0.5;  ;HIJPR
71;12/03/2017;60.76;  ;12.62;  ;7.45;  ;13.04;  ;128.31;  ;28.81;  ;71.74;  ;1.17;  ;234.93;  ;0.43;  ;HIJPR
72;13/03/2017;46.37;  ;16.26;  ;12.01;  ;17.98;  ;162.54;  ;30.65;  ;62.07;  ;0.77;  ;214.67;  ;0;  ;HIJPR
73;14/03/2017;78.17;  ;14.85;  ;13.05;  ;17.43;  ;100.82;  ;30.69;  ;63.8;  ;0.57;  ;203.79;  ;0;  ;HIJPR
74;15/03/2017;30.53;  ;11.9;  ;6.22;  ;11.9;  ;156.23;  ;29.61;  ;64.47;  ;1.73;  ;234.86;  ;0;  ;HIJPR
75;16/03/2017;43.19;  ;8.33;  ;15.08;  ;13.56;  ;75.69;  ;29;  ;74.33;  ;0.5;  ;163.24;  ;0;  ;HIJPR
76;17/03/2017;87.93;  ;12.31;  ;21.34;  ;19.55;  ;52.41;  ;28.16;  ;80.91;  ;0.31;  ;141.8;  ;0.07;  ;HIJPR
